Day,Volume (In Mn.),Value (In Cr.)
"December 01, 2023",406.28,73567.26
"December 02, 2023",407.85,70237.35
"December 03, 2023",387.09,51728.44
"December 04, 2023",381.76,68763.3
"December 05, 2023",385.45,68578.17
"December 06, 2023",383.81,64625.98
"December 07, 2023",383.95,63698.48
"December 08, 2023",398.26,63578.4
"December 09, 2023",399.14,59877.09
"December 10, 2023",391.7,49895.18
"December 11, 2023",391.09,65689.66
"December 12, 2023",395.65,62987.05
"December 13, 2023",391.26,61418.12
"December 14, 2023",387.6,59486.48
"December 15, 2023",384.25,58430.66
"December 16, 2023",389.05,55199.4
"December 17, 2023",383.69,43870.34
"December 18, 2023",382.63,58406.97
"December 19, 2023",380.98,56788.0
"December 20, 2023",388.89,60562.68
"December 21, 2023",388.33,57778.84
"December 22, 2023",388.55,56458.87
"December 23, 2023",382.13,52084.16
"December 24, 2023",374.2,42244.26
"December 25, 2023",365.79,45953.24
"December 26, 2023",372.71,55758.73
"December 27, 2023",374.2,56459.53
"December 28, 2023",371.9,57227.27
"December 29, 2023",381.25,61351.22
"December 30, 2023",399.75,66002.11
"December 31, 2023",421.04,54242.21
Total,12020.23,1822949.45
