Day,Volume (In Mn.),Value (In Cr.)
"April 01, 2025",529.72,74937.0
"April 02, 2025",619.27,102791.42
"April 03, 2025",606.99,95332.97
"April 04, 2025",618.69,94268.0
"April 05, 2025",629.58,90299.35
"April 06, 2025",588.27,68150.47
"April 07, 2025",618.57,98216.32
"April 08, 2025",624.89,89887.4
"April 09, 2025",629.69,91452.18
"April 10, 2025",605.41,83751.64
"April 11, 2025",620.26,85297.83
"April 12, 2025",554.3,68876.63
"April 13, 2025",613.98,65305.33
"April 14, 2025",582.69,70514.53
"April 15, 2025",608.94,83768.29
"April 16, 2025",606.39,82446.94
"April 17, 2025",598.31,79567.11
"April 18, 2025",578.17,67342.78
"April 19, 2025",603.95,74613.71
"April 20, 2025",587.89,60985.01
"April 21, 2025",589.21,79430.34
"April 22, 2025",582.01,75876.17
"April 23, 2025",582.3,74632.32
"April 24, 2025",580.19,73457.31
"April 25, 2025",585.05,74213.96
"April 26, 2025",583.12,69855.94
"April 27, 2025",578.47,57359.23
"April 28, 2025",583.22,79646.93
"April 29, 2025",587.91,81121.96
"April 30, 2025",615.99,101526.8
Total,17893.42,2394925.87
