Day,Volume (In Mn.),Value (In Cr.)
"May 01, 2026",767.91,111281.22
"May 02, 2026",800.11,121709.67
"May 03, 2026",767.82,93284.63
"May 04, 2026",740.78,113658.32
"May 05, 2026",763.22,115017.52
"May 06, 2026",761.51,108562.67
"May 07, 2026",760.52,107677.31
"May 08, 2026",771.73,104769.32
"May 09, 2026",767.53,100137.12
"May 10, 2026",769.24,85290.49
"May 11, 2026",773.15,109868.94
"May 12, 2026",766.24,104647.39
"May 13, 2026",756.59,99435.44
"May 14, 2026",747.98,96746.53
"May 15, 2026",768.22,96584.68
"May 16, 2026",757.97,90908.18
"May 17, 2026",745.63,75206.21
"May 18, 2026",743.61,96202.81
"May 19, 2026",737.77,92099.95
"May 20, 2026",747.58,95243.83
"May 21, 2026",718.01,88774.26
"May 22, 2026",740.5,89437.89
"May 23, 2026",730.59,84137.96
"May 24, 2026",724.19,70488.01
"May 25, 2026",737.75,96626.32
"May 26, 2026",729.01,92990.6
"May 27, 2026",751.99,95677.9
"May 28, 2026",673.5,73215.31
"May 29, 2026",707.57,94811.1
"May 30, 2026",735.94,101509.14
"May 31, 2026",737.79,84423.46
Total,23201.95,2990424.18
