Day,Volume (In Mn.),Value (In Cr.)
"February 01, 2024",431.86,82028.29
"February 02, 2024",433.49,73617.61
"February 03, 2024",431.15,70136.81
"February 04, 2024",419.38,58023.37
"February 05, 2024",430.43,77049.21
"February 06, 2024",403.02,66834.78
"February 07, 2024",436.92,72935.74
"February 08, 2024",431.52,69704.87
"February 09, 2024",432.96,67472.51
"February 10, 2024",437.73,64841.39
"February 11, 2024",423.24,50719.39
"February 12, 2024",426.34,69413.98
"February 13, 2024",419.77,64168.37
"February 14, 2024",420.62,62262.76
"February 15, 2024",420.05,64067.86
"February 16, 2024",409.98,58708.44
"February 17, 2024",404.57,56296.73
"February 18, 2024",407.45,45970.13
"February 19, 2024",406.98,59833.37
"February 20, 2024",410.6,61793.87
"February 21, 2024",413.87,60116.76
"February 22, 2024",403.19,57929.56
"February 23, 2024",410.28,56587.1
"February 24, 2024",401.31,52338.63
"February 25, 2024",398.98,44382.34
"February 26, 2024",400.0,59971.55
"February 27, 2024",387.24,57903.92
"February 28, 2024",418.19,64859.15
"February 29, 2024",431.58,77900.86
Total,12102.67,1827869.35
