Day,Volume (In Mn.),Value (In Cr.)
"June 01, 2024",478.46,80892.93
"June 02, 2024",474.18,65177.53
"June 03, 2024",479.13,84201.75
"June 04, 2024",447.44,81483.43
"June 05, 2024",478.6,82064.37
"June 06, 2024",458.0,73445.81
"June 07, 2024",478.18,74690.75
"June 08, 2024",479.19,68922.47
"June 09, 2024",471.09,56425.61
"June 10, 2024",480.72,80323.86
"June 11, 2024",469.8,73866.64
"June 12, 2024",476.94,71385.73
"June 13, 2024",462.19,67638.55
"June 14, 2024",470.57,66861.57
"June 15, 2024",477.72,68024.41
"June 16, 2024",474.63,53975.8
"June 17, 2024",431.59,51569.15
"June 18, 2024",440.46,61051.29
"June 19, 2024",460.26,64879.46
"June 20, 2024",454.32,65029.53
"June 21, 2024",452.6,62337.03
"June 22, 2024",454.83,57274.09
"June 23, 2024",445.31,46497.11
"June 24, 2024",455.52,64748.05
"June 25, 2024",444.52,63353.78
"June 26, 2024",448.14,62349.06
"June 27, 2024",450.49,62009.24
"June 28, 2024",452.75,66808.91
"June 29, 2024",475.54,70499.43
"June 30, 2024",461.98,59293.86
Total,13885.14,2007081.2
