Day,Volume (In Mn.),Value (In Cr.)
"January 01, 2023",257.8,35576.8
"January 02, 2023",264.12,50488.22
"January 03, 2023",261.61,47767.96
"January 04, 2023",266.41,50171.67
"January 05, 2023",267.78,48732.35
"January 06, 2023",260.35,45665.71
"January 07, 2023",272.13,46858.16
"January 08, 2023",260.79,36760.43
"January 09, 2023",268.35,50045.65
"January 10, 2023",270.38,48440.96
"January 11, 2023",270.38,46672.56
"January 12, 2023",270.89,45229.12
"January 13, 2023",273.24,43782.2
"January 14, 2023",263.45,37799.6
"January 15, 2023",242.02,30014.56
"January 16, 2023",249.82,40226.62
"January 17, 2023",249.05,39728.11
"January 18, 2023",257.89,41137.76
"January 19, 2023",254.53,40937.69
"January 20, 2023",260.83,41418.89
"January 21, 2023",264.74,39750.27
"January 22, 2023",252.13,31046.89
"January 23, 2023",256.28,41835.44
"January 24, 2023",257.38,40626.95
"January 25, 2023",262.49,42730.7
"January 26, 2023",241.04,31062.8
"January 27, 2023",252.88,40158.06
"January 28, 2023",246.81,36651.22
"January 29, 2023",242.51,29669.35
"January 30, 2023",250.7,44557.68
"January 31, 2023",268.1,53514.4
Total,8036.89,1299058.78
