Day,Volume (In Mn.),Value (In Cr.)
"July 01, 2023",339.54,61917.81
"July 02, 2023",329.22,47229.91
"July 03, 2023",328.96,59189.38
"July 04, 2023",330.44,59449.73
"July 05, 2023",331.28,59459.28
"July 06, 2023",325.69,56399.5
"July 07, 2023",329.82,55271.86
"July 08, 2023",326.48,50571.15
"July 09, 2023",319.54,41980.62
"July 10, 2023",331.8,60484.85
"July 11, 2023",326.67,53967.69
"July 12, 2023",331.47,53590.28
"July 13, 2023",323.75,50613.67
"July 14, 2023",322.6,47947.78
"July 15, 2023",317.56,47729.74
"July 16, 2023",320.87,38071.82
"July 17, 2023",317.03,48124.93
"July 18, 2023",311.71,46846.49
"July 19, 2023",315.44,47849.69
"July 20, 2023",315.38,47608.52
"July 21, 2023",315.28,45577.5
"July 22, 2023",313.69,42238.88
"July 23, 2023",309.31,34416.57
"July 24, 2023",311.0,48206.15
"July 25, 2023",307.95,46984.69
"July 26, 2023",310.76,46067.18
"July 27, 2023",314.06,45734.03
"July 28, 2023",315.23,46273.69
"July 29, 2023",316.71,42690.11
"July 30, 2023",317.21,36936.18
"July 31, 2023",337.79,64106.76
Total,9964.26,1533536.44
