Day,Volume (In Mn.),Value (In Cr.)
"April 01, 2023",309.62,51067.88
"April 02, 2023",270.59,40107.32
"April 03, 2023",291.23,67174.84
"April 04, 2023",302.63,55131.41
"April 05, 2023",305.56,55523.66
"April 06, 2023",300.37,53108.05
"April 07, 2023",299.68,49096.83
"April 08, 2023",305.96,45972.66
"April 09, 2023",296.11,38971.53
"April 10, 2023",306.64,57032.84
"April 11, 2023",293.41,51142.19
"April 12, 2023",317.35,52628.2
"April 13, 2023",302.54,48837.58
"April 14, 2023",292.16,41334.68
"April 15, 2023",303.7,45867.37
"April 16, 2023",290.29,35944.36
"April 17, 2023",292.1,48059.75
"April 18, 2023",289.58,45994.08
"April 19, 2023",295.17,46337.61
"April 20, 2023",301.55,47613.07
"April 21, 2023",302.47,46341.28
"April 22, 2023",281.49,37244.28
"April 23, 2023",277.06,32251.65
"April 24, 2023",281.92,44918.84
"April 25, 2023",281.19,44390.27
"April 26, 2023",286.05,44656.69
"April 27, 2023",286.51,44563.42
"April 28, 2023",294.06,48699.12
"April 29, 2023",309.85,52690.23
"April 30, 2023",296.43,42803.02
Total,8863.26,1415504.71
