Day,Volume (In Mn.),Value (In Cr.)
"July 01, 2022",211.04,43831.02
"July 02, 2022",213.41,42108.81
"July 03, 2022",204.95,32114.33
"July 04, 2022",209.32,42995.32
"July 05, 2022",207.79,41456.59
"July 06, 2022",209.34,39822.21
"July 07, 2022",212.03,39624.23
"July 08, 2022",207.96,37817.79
"July 09, 2022",210.07,35896.16
"July 10, 2022",193.24,26632.94
"July 11, 2022",200.1,37142.02
"July 12, 2022",201.12,35038.16
"July 13, 2022",198.95,34242.77
"July 14, 2022",202.36,34743.09
"July 15, 2022",201.9,33702.42
"July 16, 2022",201.36,32704.58
"July 17, 2022",197.55,25086.78
"July 18, 2022",198.02,33652.23
"July 19, 2022",199.72,32665.89
"July 20, 2022",206.01,34113.78
"July 21, 2022",199.56,32083.3
"July 22, 2022",198.49,30587.13
"July 23, 2022",196.12,29270.86
"July 24, 2022",192.24,23283.4
"July 25, 2022",196.39,33362.36
"July 26, 2022",195.11,31535.55
"July 27, 2022",203.08,32141.8
"July 28, 2022",197.11,31311.84
"July 29, 2022",203.04,35222.25
"July 30, 2022",213.22,38375.84
"July 31, 2022",207.82,30551.59
Total,6288.4,1063117.04
