Day,Volume (In Mn.),Value (In Cr.)
"June 01, 2022",208.49,42008.82
"June 02, 2022",211.43,43887.84
"June 03, 2022",203.82,38200.28
"June 04, 2022",205.13,35010.94
"June 05, 2022",200.8,34073.12
"June 06, 2022",202.34,39158.04
"June 07, 2022",205.99,37704.57
"June 08, 2022",207.59,38922.92
"June 09, 2022",204.24,36686.89
"June 10, 2022",202.18,36538.99
"June 11, 2022",203.71,33508.5
"June 12, 2022",195.25,26074.45
"June 13, 2022",200.67,37447.27
"June 14, 2022",198.67,34441.89
"June 15, 2022",204.03,35105.4
"June 16, 2022",201.74,34093.76
"June 17, 2022",196.29,32304.39
"June 18, 2022",181.9,29385.68
"June 19, 2022",167.08,22291.5
"June 20, 2022",187.81,34282.55
"June 21, 2022",190.45,32914.38
"June 22, 2022",188.55,31969.65
"June 23, 2022",185.43,30994.9
"June 24, 2022",190.49,31022.28
"June 25, 2022",189.8,29437.83
"June 26, 2022",186.51,23014.68
"June 27, 2022",190.88,33292.2
"June 28, 2022",189.41,31772.75
"June 29, 2022",182.2,31620.08
"June 30, 2022",179.88,37246.08
Total,5862.75,1014412.63
