Day,Volume (In Mn.),Value (In Cr.)
"August 01, 2025",669.33,103856.25
"August 02, 2025",707.22,102420.12
"August 03, 2025",667.93,76155.36
"August 04, 2025",665.37,98588.87
"August 05, 2025",671.66,97550.71
"August 06, 2025",675.27,93102.41
"August 07, 2025",673.36,93176.2
"August 08, 2025",721.27,93002.51
"August 09, 2025",680.23,76578.76
"August 10, 2025",645.08,69866.81
"August 11, 2025",652.81,90606.77
"August 12, 2025",651.63,85866.64
"August 13, 2025",643.64,83460.62
"August 14, 2025",660.05,83159.03
"August 15, 2025",629.88,63117.09
"August 16, 2025",636.77,68278.92
"August 17, 2025",612.31,57594.29
"August 18, 2025",627.05,79754.87
"August 19, 2025",614.19,76331.59
"August 20, 2025",639.14,81160.77
"August 21, 2025",631.51,78191.58
"August 22, 2025",622.64,72461.6
"August 23, 2025",617.83,68686.99
"August 24, 2025",627.79,58510.27
"August 25, 2025",637.82,80294.19
"August 26, 2025",641.64,77157.83
"August 27, 2025",593.56,62308.47
"August 28, 2025",597.68,74062.22
"August 29, 2025",617.85,81491.51
"August 30, 2025",645.13,87522.18
"August 31, 2025",630.68,71157.47
Total,20008.31,2485472.9
