Day,Volume (In Mn.),Value (In Cr.)
"March 01, 2022",171.16,33758.22
"March 02, 2022",179.46,37033.35
"March 03, 2022",179.45,36252.3
"March 04, 2022",177.9,35210.29
"March 05, 2022",184.02,35370.65
"March 06, 2022",172.57,26113.76
"March 07, 2022",181.78,37285.22
"March 08, 2022",179.37,34545.89
"March 09, 2022",180.82,34882.05
"March 10, 2022",181.54,34890.75
"March 11, 2022",178.34,32377.05
"March 12, 2022",176.52,29318.33
"March 13, 2022",170.4,23152.81
"March 14, 2022",177.44,33957.67
"March 15, 2022",176.69,33340.64
"March 16, 2022",180.46,33221.88
"March 17, 2022",180.75,31166.73
"March 18, 2022",148.93,18869.04
"March 19, 2022",164.48,25247.27
"March 20, 2022",158.86,21237.31
"March 21, 2022",172.3,31841.8
"March 22, 2022",167.3,29566.9
"March 23, 2022",169.86,29859.79
"March 24, 2022",169.58,29588.27
"March 25, 2022",170.93,29741.97
"March 26, 2022",176.05,27909.08
"March 27, 2022",170.9,21937.12
"March 28, 2022",171.37,30755.25
"March 29, 2022",171.62,29737.75
"March 30, 2022",177.2,33222.54
"March 31, 2022",187.59,39189.99
Total,5405.65,960581.67
