Day,Volume (In Mn.),Value (In Cr.)
"February 01, 2023",288.98,58075.13
"February 02, 2023",280.45,53349.07
"February 03, 2023",274.23,48928.42
"February 04, 2023",283.59,50154.95
"February 05, 2023",272.45,39708.7
"February 06, 2023",272.15,49382.48
"February 07, 2023",280.23,51094.93
"February 08, 2023",268.79,46745.96
"February 09, 2023",281.71,48838.54
"February 10, 2023",270.53,45521.66
"February 11, 2023",267.8,42389.83
"February 12, 2023",263.75,33672.53
"February 13, 2023",261.38,44763.87
"February 14, 2023",273.86,46194.43
"February 15, 2023",275.02,46219.11
"February 16, 2023",253.04,40478.39
"February 17, 2023",272.54,41977.12
"February 18, 2023",260.48,35674.95
"February 19, 2023",255.47,31261.7
"February 20, 2023",269.3,45260.1
"February 21, 2023",265.1,42897.62
"February 22, 2023",260.46,41562.95
"February 23, 2023",261.96,40906.88
"February 24, 2023",261.96,40347.83
"February 25, 2023",260.6,39270.42
"February 26, 2023",253.55,30904.86
"February 27, 2023",264.29,45348.53
"February 28, 2023",281.09,54915.62
Total,7534.76,1235846.58
