Masking,Missingness,Method,Variable,KS Statistic,KS p-value,Original Variance,Imputed Variance,Variance Ratio
block,10,Median,Value (In Cr.),0.8489583333333334,4.208329326643423e-71,24400001.17232129,152956190.8080371,6.2686960434062
block,10,KNN,Volume (In Mn.),1.0,1.2474408300930894e-114,298.2832914676047,3.248091410548538e-27,1.0889283789807244e-29
block,10,KNN,Value (In Cr.),1.0,1.2474408300930894e-114,24400001.17232129,5.321672967042724e-23,2.181013406294213e-30
block,10,MICE,Volume (In Mn.),1.0,1.2474408300930894e-114,298.2832914676047,3.248091410548538e-27,1.0889283789807244e-29
block,10,MICE,Value (In Cr.),1.0,1.2474408300930894e-114,24400001.17232129,5.321672967042724e-23,2.181013406294213e-30
block,10,Time-Series Interpolation,Volume (In Mn.),0.3177083333333333,5.750865688061348e-09,298.2832914676047,256.8319668393782,0.8610337024770012
block,10,Time-Series Interpolation,Value (In Cr.),0.578125,5.1575922335663534e-30,24400001.17232129,5006424.473367877,0.20518132101760025
block,20,Mean,Volume (In Mn.),0.9453125,2.6019181283144126e-189,1010.464792231696,6043.158197095085,5.980572745882877
block,20,Mean,Value (In Cr.),0.9244791666666666,1.4038800507262064e-177,39760283.0300216,88505687.25133456,2.2259823247361448
block,20,Median,Volume (In Mn.),0.9453125,2.6019181283144126e-189,1010.464792231696,6041.136299934048,5.978571788326928
block,20,Median,Value (In Cr.),0.9244791666666666,1.4038800507262064e-177,39760283.0300216,87525130.82584229,2.201320618360667
block,20,KNN,Volume (In Mn.),1.0,4.475847141224385e-230,1010.464792231696,1.2958443016496516e-26,1.28242400092701e-29
block,20,KNN,Value (In Cr.),1.0,4.475847141224385e-230,39760283.0300216,0.0,0.0
block,20,MICE,Volume (In Mn.),1.0,4.475847141224385e-230,1010.464792231696,1.2958443016496516e-26,1.28242400092701e-29
block,20,MICE,Value (In Cr.),1.0,4.475847141224385e-230,39760283.0300216,0.0,0.0
block,20,Time-Series Interpolation,Volume (In Mn.),0.10416666666666674,0.030942002029806247,1010.464792231696,1162.425151168831,1.1503865944715579
block,20,Time-Series Interpolation,Value (In Cr.),0.13020833333333326,0.0029461690348015286,39760283.0300216,31455288.826181836,0.79112336304123
