Masking,Missingness,Method,Variable,ACF RMSE,ACF MAE,ACF Correlation
block,10,Mean,Value (In Cr.),0.034328346979255187,0.032551440309079555,0.9681537316334182
block,10,Median,Volume (In Mn.),0.020450908273608025,0.017966832669192825,0.3150758820662179
block,10,Median,Value (In Cr.),0.03423060697536459,0.03246687222698897,0.9685314364400247
block,10,KNN,Volume (In Mn.),0.02183180910144312,0.019276342376115908,0.32321594284690697
block,10,KNN,Value (In Cr.),0.03969994248768199,0.03795208861900763,0.9712213723581876
block,10,MICE,Volume (In Mn.),0.021831809101443143,0.01927634237611592,0.32321594284690713
block,10,MICE,Value (In Cr.),0.039699942487682036,0.03795208861900767,0.9712213723581874
block,10,Time-Series Interpolation,Volume (In Mn.),6.620375080914789e-05,6.230353668471208e-05,0.9999842688235459
block,10,Time-Series Interpolation,Value (In Cr.),0.002883720809858105,0.00273436393173138,0.9999303201200719
block,20,Mean,Volume (In Mn.),0.0282659121879745,0.025168118535405196,0.2949227970904496
block,20,Mean,Value (In Cr.),0.06046350902063062,0.05829754704953501,0.9665920695519303
block,20,Median,Volume (In Mn.),0.02829036014446507,0.025187494819618832,0.2939702946384281
block,20,Median,Value (In Cr.),0.06079832577405479,0.05862048820800224,0.96549218535661
block,20,KNN,Volume (In Mn.),0.030078928767430756,0.026770660958483072,0.27244249339952775
block,20,KNN,Value (In Cr.),0.06860950995623145,0.06625371723284854,0.9615010537432651
block,20,MICE,Volume (In Mn.),0.030078928767430752,0.026770660958483065,0.2724424933995272
block,20,MICE,Value (In Cr.),0.06860950995623148,0.06625371723284855,0.9615010537432649
block,20,Time-Series Interpolation,Volume (In Mn.),0.00029678279459857996,0.00028554149651749405,0.9999804980077449
block,20,Time-Series Interpolation,Value (In Cr.),0.0027805081467283674,0.0026833329270369594,0.9999284415863304
