Seed,Masking,Missingness,Method,Variable,RMSE,MAE,N_Masked
456,random,20,Mean,Value (In Cr.),8742.10863968483,6644.414546885799,382
456,random,20,Median,Volume (In Mn.),18.64535501581568,13.189209844559585,386
456,random,20,Median,Value (In Cr.),8705.210666181927,6538.124869109948,382
456,random,20,KNN,Volume (In Mn.),104.5236912499811,71.37465488309881,386
456,random,20,KNN,Value (In Cr.),12972.376904240462,9135.697524200192,382
456,random,20,MICE,Volume (In Mn.),103.06565034802091,71.28864778065882,386
456,random,20,MICE,Value (In Cr.),12556.90501528546,8446.617046190227,382
456,random,20,Time-Series Interpolation,Volume (In Mn.),11.79432860153784,8.295436960276335,386
456,random,20,Time-Series Interpolation,Value (In Cr.),7908.541412679539,5520.004904013962,382
789,random,5,Mean,Volume (In Mn.),18.491643701324413,14.6332317899211,96
789,random,5,Mean,Value (In Cr.),10029.885018671539,7299.222503202861,96
789,random,5,Median,Volume (In Mn.),17.6627313841296,13.38838541666667,96
789,random,5,Median,Value (In Cr.),9959.812280697726,7173.590677083333,96
789,random,5,KNN,Volume (In Mn.),92.37703838738511,61.77380942754021,96
789,random,5,KNN,Value (In Cr.),11163.020271518153,7672.356051923428,96
789,random,5,MICE,Volume (In Mn.),86.98983867588962,56.72280839989444,96
789,random,5,MICE,Value (In Cr.),10860.27410038778,7347.690720325149,96
789,random,5,Time-Series Interpolation,Volume (In Mn.),9.974695119290656,7.050277777777782,96
789,random,5,Time-Series Interpolation,Value (In Cr.),7535.484208226266,4886.891562500001,96
789,random,10,Mean,Volume (In Mn.),19.50671034039431,14.773679469552976,204
789,random,10,Mean,Value (In Cr.),10169.493221431814,7460.3966860585215,180
789,random,10,Median,Volume (In Mn.),19.194889041581543,13.816985294117647,204
789,random,10,Median,Value (In Cr.),10297.41776520517,7470.246277777777,180
789,random,10,KNN,Volume (In Mn.),106.1546919170326,73.00974646921703,204
789,random,10,KNN,Value (In Cr.),13729.957954976027,8982.833507854406,180
789,random,10,MICE,Volume (In Mn.),102.05350015485439,70.41984935617108,204
789,random,10,MICE,Value (In Cr.),13725.332644942026,9066.053911944611,180
789,random,10,Time-Series Interpolation,Volume (In Mn.),12.28702072300478,7.911200980392158,204
789,random,10,Time-Series Interpolation,Value (In Cr.),7615.539163361517,5355.632074074075,180
789,random,20,Mean,Volume (In Mn.),17.097303515775103,13.021125111177437,408
789,random,20,Mean,Value (In Cr.),9229.953376620815,6718.192407983303,360
789,random,20,Median,Volume (In Mn.),16.601919899901485,12.059289215686272,408
789,random,20,Median,Value (In Cr.),9419.105002440368,6755.560430555555,360
789,random,20,KNN,Volume (In Mn.),109.13206411378451,74.32116437130408,408
789,random,20,KNN,Value (In Cr.),13836.42439549647,9199.335298967237,360
789,random,20,MICE,Volume (In Mn.),109.36051774785437,75.0278946347052,408
789,random,20,MICE,Value (In Cr.),13628.911362900868,8967.001376779943,360
789,random,20,Time-Series Interpolation,Volume (In Mn.),11.109705560925676,7.572821895424835,408
789,random,20,Time-Series Interpolation,Value (In Cr.),7693.994507873644,5445.7387777777785,360
2026,random,5,Mean,Volume (In Mn.),16.718730620430918,12.683585738521634,100
2026,random,5,Mean,Value (In Cr.),8854.341329637178,6569.111397344817,92
2026,random,5,Median,Volume (In Mn.),16.02500754289994,11.400149999999996,100
2026,random,5,Median,Value (In Cr.),8774.531846509057,6296.336630434784,92
2026,random,5,KNN,Volume (In Mn.),77.03346438721024,53.53342000000001,100
2026,random,5,KNN,Value (In Cr.),8518.737744335485,6391.077630292074,92
2026,random,5,MICE,Volume (In Mn.),72.19933355666107,51.69314720813885,100
2026,random,5,MICE,Value (In Cr.),7976.015821292594,5968.830755328864,92
2026,random,5,Time-Series Interpolation,Volume (In Mn.),9.999406710178139,7.057666666666664,100
2026,random,5,Time-Series Interpolation,Value (In Cr.),7553.29838347319,5193.994402173912,92
2026,random,10,Mean,Volume (In Mn.),17.75058970283596,13.442310351035712,198
2026,random,10,Mean,Value (In Cr.),8793.204513220475,6761.922621893217,186
2026,random,10,Median,Volume (In Mn.),17.322454041363535,12.638560606060613,198
2026,random,10,Median,Value (In Cr.),8938.232381211761,6808.398817204299,186
2026,random,10,KNN,Volume (In Mn.),96.69122995471642,65.93399060289305,198
2026,random,10,KNN,Value (In Cr.),12192.288343578757,8487.816205057608,186
2026,random,10,MICE,Volume (In Mn.),94.18089621886905,64.62707984732222,198
2026,random,10,MICE,Value (In Cr.),11891.464108624194,8292.2177838353,186
2026,random,10,Time-Series Interpolation,Volume (In Mn.),11.481319616982471,7.66731481481482,198
2026,random,10,Time-Series Interpolation,Value (In Cr.),7722.422700545218,5543.446164874552,186
2026,random,20,Mean,Volume (In Mn.),17.348619121924997,13.086352389135401,391
2026,random,20,Mean,Value (In Cr.),9392.964867759483,7018.2098389841485,377
2026,random,20,Median,Volume (In Mn.),16.8673528794108,12.075230179028132,391
2026,random,20,Median,Value (In Cr.),9623.282960877546,7110.2675994694955,377
2026,random,20,KNN,Volume (In Mn.),114.14389774444784,77.17445446014729,391
2026,random,20,KNN,Value (In Cr.),14288.323123173117,10054.119811473396,377
2026,random,20,MICE,Volume (In Mn.),112.72882574812355,76.86179209064521,391
2026,random,20,MICE,Value (In Cr.),13995.151233295559,9632.483075519802,377
2026,random,20,Time-Series Interpolation,Volume (In Mn.),10.368381845717659,7.131798806479112,391
2026,random,20,Time-Series Interpolation,Value (In Cr.),7917.587630010985,5484.723322723254,377
