Day,Volume (In Mn.),Value (In Cr.)
"August 01, 2024",492.75,86207.47
"August 02, 2024",503.52,80650.53
"August 03, 2024",498.53,74840.21
"August 04, 2024",494.13,60733.24
"August 05, 2024",502.98,87105.05
"August 06, 2024",484.68,75775.76
"August 07, 2024",494.56,75924.48
"August 08, 2024",499.05,74517.12
"August 09, 2024",499.9,71679.83
"August 10, 2024",501.9,68937.11
"August 11, 2024",484.2,53711.43
"August 12, 2024",494.81,73511.02
"August 13, 2024",493.85,69591.51
"August 14, 2024",508.97,70932.79
"August 15, 2024",479.6,53740.39
"August 16, 2024",483.56,62853.27
"August 17, 2024",489.28,64285.9
"August 18, 2024",497.59,52964.5
"August 19, 2024",479.51,57096.04
"August 20, 2024",456.76,63752.32
"August 21, 2024",465.51,63404.65
"August 22, 2024",465.0,61990.5
"August 23, 2024",461.58,60477.73
"August 24, 2024",457.83,56689.96
"August 25, 2024",461.07,47468.27
"August 26, 2024",460.52,56543.09
"August 27, 2024",452.14,60871.56
"August 28, 2024",463.69,62645.47
"August 29, 2024",462.19,64211.45
"August 30, 2024",477.71,71082.16
"August 31, 2024",495.67,76540.76
Total,14963.05,2060735.57
