Day,Volume (In Mn.),Value (In Cr.)
"September 01, 2025",653.79,103346.42
"September 02, 2025",669.93,101199.28
"September 03, 2025",669.81,95949.97
"September 04, 2025",667.37,95176.51
"September 05, 2025",643.35,82199.29
"September 06, 2025",642.03,82162.11
"September 07, 2025",634.66,67737.98
"September 08, 2025",674.21,91323.72
"September 09, 2025",671.05,91406.67
"September 10, 2025",682.48,94319.1
"September 11, 2025",661.6,87398.93
"September 12, 2025",670.33,83819.17
"September 13, 2025",656.88,75989.11
"September 14, 2025",653.4,63705.14
"September 15, 2025",652.52,86868.41
"September 16, 2025",648.04,81334.96
"September 17, 2025",651.27,76781.03
"September 18, 2025",636.32,75545.7
"September 19, 2025",646.02,73973.14
"September 20, 2025",660.03,76649.34
"September 21, 2025",650.17,60320.66
"September 22, 2025",637.06,82477.13
"September 23, 2025",641.94,81647.55
"September 24, 2025",650.51,82219.56
"September 25, 2025",646.48,82763.15
"September 26, 2025",642.79,81147.56
"September 27, 2025",647.1,76740.06
"September 28, 2025",635.52,63884.47
"September 29, 2025",662.61,88429.61
"September 30, 2025",674.17,103220.79
Total,19633.43,2489736.52
