Day,Volume (In Mn.),Value (In Cr.)
"June 01, 2023",325.62,62898.87
"June 02, 2023",326.26,57644.81
"June 03, 2023",323.21,54799.2
"June 04, 2023",311.99,45018.03
"June 05, 2023",321.19,59403.41
"June 06, 2023",315.73,54850.16
"June 07, 2023",326.0,56073.86
"June 08, 2023",317.81,52908.79
"June 09, 2023",319.37,52262.0
"June 10, 2023",322.95,51283.62
"June 11, 2023",311.61,39593.49
"June 12, 2023",314.64,53040.32
"June 13, 2023",312.41,50385.35
"June 14, 2023",314.04,50450.73
"June 15, 2023",310.8,49745.39
"June 16, 2023",311.93,46355.7
"June 17, 2023",312.08,45835.99
"June 18, 2023",301.35,35234.45
"June 19, 2023",309.95,49499.42
"June 20, 2023",307.4,48407.3
"June 21, 2023",307.13,47664.33
"June 22, 2023",304.5,46704.89
"June 23, 2023",302.34,45579.36
"June 24, 2023",300.63,42935.74
"June 25, 2023",294.73,35147.31
"June 26, 2023",302.22,48619.69
"June 27, 2023",299.96,47516.37
"June 28, 2023",313.7,49897.31
"June 29, 2023",280.6,37961.22
"June 30, 2023",312.9,57747.14
Total,9335.06,1475464.26
