Day,Volume (In Mn.),Value (In Cr.)
"March 01, 2025",631.42,101627.92
"March 02, 2025",608.03,79157.48
"March 03, 2025",599.45,97185.42
"March 04, 2025",594.56,93483.95
"March 05, 2025",596.26,93034.38
"March 06, 2025",584.1,87477.02
"March 07, 2025",598.0,87218.22
"March 08, 2025",605.76,81507.5
"March 09, 2025",604.78,68403.22
"March 10, 2025",611.04,95763.57
"March 11, 2025",577.81,84906.83
"March 12, 2025",601.72,87615.79
"March 13, 2025",642.1,85570.94
"March 14, 2025",514.99,51067.26
"March 15, 2025",580.76,71801.28
"March 16, 2025",572.15,59622.54
"March 17, 2025",580.35,80668.23
"March 18, 2025",572.64,76988.31
"March 19, 2025",576.13,76504.71
"March 20, 2025",575.82,78037.44
"March 21, 2025",576.38,74557.68
"March 22, 2025",584.23,70233.03
"March 23, 2025",587.44,58953.84
"March 24, 2025",578.44,79820.41
"March 25, 2025",581.74,79710.62
"March 26, 2025",550.51,75842.65
"March 27, 2025",597.46,81231.4
"March 28, 2025",605.24,84515.18
"March 29, 2025",627.19,87115.79
"March 30, 2025",619.27,71617.99
"March 31, 2025",565.72,75980.99
Total,18301.51,2477221.59
