Day,Volume (In Mn.),Value (In Cr.)
"July 01, 2021",105.23,23416.77
"July 02, 2021",108.15,22773.32
"July 03, 2021",104.45,20784.0
"July 04, 2021",97.95,16400.08
"July 05, 2021",109.22,23601.76
"July 06, 2021",107.72,21426.67
"July 07, 2021",110.04,23158.49
"July 08, 2021",108.63,19593.6
"July 09, 2021",110.29,22376.23
"July 10, 2021",105.33,17381.76
"July 11, 2021",98.86,14528.9
"July 12, 2021",106.98,17865.05
"July 13, 2021",105.5,26954.63
"July 14, 2021",106.98,19870.94
"July 15, 2021",106.82,21013.1
"July 16, 2021",106.79,21440.28
"July 17, 2021",103.02,18400.77
"July 18, 2021",91.51,12743.31
"July 19, 2021",104.95,20635.1
"July 20, 2021",107.81,20476.24
"July 21, 2021",95.49,15421.19
"July 22, 2021",94.74,15711.85
"July 23, 2021",104.73,19889.5
"July 24, 2021",97.81,15607.17
"July 25, 2021",96.8,12927.13
"July 26, 2021",105.11,19885.25
"July 27, 2021",104.07,19262.96
"July 28, 2021",105.63,19325.52
"July 29, 2021",104.44,19154.18
"July 30, 2021",111.75,21272.89
"July 31, 2021",121.03,22584.56
Total,3247.82,605883.2
