Day,Volume (In Mn.),Value (In Cr.)
"November 01, 2021",158.76,36035.24
"November 02, 2021",164.38,34915.78
"November 03, 2021",164.77,34613.47
"November 04, 2021",143.48,23307.44
"November 05, 2021",132.6,22719.01
"November 06, 2021",136.25,24416.19
"November 07, 2021",130.93,20543.84
"November 08, 2021",142.34,28222.58
"November 09, 2021",137.91,27462.69
"November 10, 2021",140.38,27572.23
"November 11, 2021",136.97,26145.08
"November 12, 2021",136.33,25519.53
"November 13, 2021",137.71,23325.29
"November 14, 2021",134.49,18867.22
"November 15, 2021",137.31,27088.45
"November 16, 2021",138.16,27011.12
"November 17, 2021",139.38,25755.18
"November 18, 2021",134.82,25291.94
"November 19, 2021",133.91,21545.81
"November 20, 2021",138.72,24225.89
"November 21, 2021",131.39,18070.98
"November 22, 2021",133.85,25248.75
"November 23, 2021",138.85,25616.77
"November 24, 2021",137.4,25221.2
"November 25, 2021",139.25,25459.92
"November 26, 2021",137.57,25509.28
"November 27, 2021",134.24,22251.27
"November 28, 2021",129.63,17817.14
"November 29, 2021",136.94,26386.44
"November 30, 2021",147.77,32270.36
Total,4186.48,768436.09
