Day,Volume (In Mn.),Value (In Cr.)
"October 01, 2021",137.77,28370.06
"October 02, 2021",139.11,25337.11
"October 03, 2021",137.27,21845.73
"October 04, 2021",139.38,29292.41
"October 05, 2021",142.99,29189.41
"October 06, 2021",137.16,26288.98
"October 07, 2021",144.68,28676.31
"October 08, 2021",142.18,27623.49
"October 09, 2021",134.63,24747.41
"October 10, 2021",135.99,21201.45
"October 11, 2021",137.83,28260.91
"October 12, 2021",138.87,27223.76
"October 13, 2021",137.65,26037.62
"October 14, 2021",133.42,24029.6
"October 15, 2021",126.87,18158.34
"October 16, 2021",128.53,22054.06
"October 17, 2021",118.51,16615.55
"October 18, 2021",134.79,25795.4
"October 19, 2021",130.95,23136.67
"October 20, 2021",134.83,24614.57
"October 21, 2021",133.03,24809.26
"October 22, 2021",136.07,24402.71
"October 23, 2021",134.4,21969.69
"October 24, 2021",129.42,16990.59
"October 25, 2021",133.2,25923.01
"October 26, 2021",135.03,25081.49
"October 27, 2021",134.13,25168.12
"October 28, 2021",136.13,26359.34
"October 29, 2021",139.18,27747.43
"October 30, 2021",147.71,29919.39
"October 31, 2021",146.93,24537.12
Total,4218.64,771406.99
