Day,Volume (In Mn.),Value (In Cr.)
"April 01, 2024",408.18,65707.52
"April 02, 2024",437.67,78992.68
"April 03, 2024",457.46,81612.52
"April 04, 2024",463.73,80339.98
"April 05, 2024",468.35,76592.44
"April 06, 2024",468.33,75139.67
"April 07, 2024",473.22,62137.33
"April 08, 2024",464.57,78463.35
"April 09, 2024",472.99,73005.91
"April 10, 2024",478.73,77281.73
"April 11, 2024",437.03,58614.12
"April 12, 2024",444.52,66417.2
"April 13, 2024",447.93,60182.59
"April 14, 2024",438.39,49234.95
"April 15, 2024",446.97,71014.73
"April 16, 2024",449.41,67012.58
"April 17, 2024",430.56,58079.92
"April 18, 2024",438.77,62329.77
"April 19, 2024",414.16,55920.21
"April 20, 2024",444.73,63256.03
"April 21, 2024",434.68,48472.16
"April 22, 2024",433.63,63466.19
"April 23, 2024",423.22,59888.22
"April 24, 2024",429.69,62462.96
"April 25, 2024",431.69,62066.2
"April 26, 2024",417.87,56158.84
"April 27, 2024",437.35,56822.21
"April 28, 2024",425.63,46102.79
"April 29, 2024",435.23,67116.48
"April 30, 2024",449.3,80573.24
Total,13303.99,1964464.52
