Day,Volume (In Mn.),Value (In Cr.)
"May 01, 2021",86.24,18140.21
"May 02, 2021",79.37,13692.47
"May 03, 2021",87.72,20191.07
"May 04, 2021",89.31,20005.02
"May 05, 2021",87.7,19438.15
"May 06, 2021",85.35,18425.68
"May 07, 2021",86.31,18247.77
"May 08, 2021",83.45,16365.41
"May 09, 2021",79.4,13425.59
"May 10, 2021",84.92,18772.21
"May 11, 2021",90.01,18267.37
"May 12, 2021",85.77,17402.93
"May 13, 2021",85.17,16038.79
"May 14, 2021",81.17,14038.22
"May 15, 2021",80.53,14824.99
"May 16, 2021",71.28,10804.95
"May 17, 2021",80.02,15977.6
"May 18, 2021",80.3,15314.82
"May 19, 2021",80.3,15542.35
"May 20, 2021",79.34,15265.44
"May 21, 2021",80.06,14967.99
"May 22, 2021",76.95,13312.11
"May 23, 2021",75.61,11237.42
"May 24, 2021",80.03,15851.67
"May 25, 2021",79.93,15027.36
"May 26, 2021",78.64,12817.62
"May 27, 2021",77.53,9669.18
"May 28, 2021",80.23,21033.64
"May 29, 2021",79.3,14114.81
"May 30, 2021",76.97,11414.94
"May 31, 2021",90.66,20732.78
Total,2539.56,490360.56
