Day,Volume (In Mn.),Value (In Cr.)
"July 1, 2026",803.91,130532.57
"July 2, 2026",809.69,125465.33
"July 3, 2026",785.97,111514.38
"July 4, 2026",784.05,113274.04
"July 5, 2026",779.69,92186.73
"July 6, 2026",755.8,111881.15
"July 7, 2026",756.23,106541.71
"July 8, 2026",780.25,108079.84
"July 9, 2026",774.56,105535.17
"July 10, 2026",790.86,105389.45
"July 11, 2026",789.72,94773.46
"July 12, 2026",779.21,77318.94
"July 13, 2026",785.02,102831.27
"July 14, 2026",776.89,98285.32
"July 15, 2026",784.52,101320.32
"July 16, 2026",766.78,94437.93
"July 17, 2026",760.07,88022.78
"July 18, 2026",762.74,90828.72
"July 19, 2026",760.89,71872.78
"July 20, 2026",740.83,93935.68
"July 21, 2026",725.62,87535.98
"July 22, 2026",733.73,87658.93
"July 23, 2026",727.46,84830.29
"July 24, 2026",742.37,83349.45
"July 25, 2026",742.35,80714.08
"July 26, 2026",744.2,67697.46
"July 27, 2026",741.09,90954.66
"July 28, 2026",730.07,87253.63
"July 29, 2026",741.25,88600.32
"July 30, 2026",732.33,92466.43
"July 31, 2026",770.2,112791.68
Total,23658.35,2987880.48
