Day,Volume (In Mn.),Value (In Cr.)
"January 01, 2024",405.75,61548.14
"January 02, 2024",407.14,70893.83
"January 03, 2024",405.84,69042.32
"January 04, 2024",398.29,69677.0
"January 05, 2024",402.27,67340.71
"January 06, 2024",410.2,66487.01
"January 07, 2024",402.13,53625.61
"January 08, 2024",405.78,70844.31
"January 09, 2024",400.55,66881.19
"January 10, 2024",412.6,69096.76
"January 11, 2024",413.08,64802.51
"January 12, 2024",412.87,62936.8
"January 13, 2024",415.05,58622.32
"January 14, 2024",397.02,45798.47
"January 15, 2024",371.57,52989.31
"January 16, 2024",375.11,54848.9
"January 17, 2024",386.01,57865.64
"January 18, 2024",377.63,57744.14
"January 19, 2024",388.99,57190.9
"January 20, 2024",396.13,58896.19
"January 21, 2024",382.86,43723.18
"January 22, 2024",355.85,45700.49
"January 23, 2024",380.7,58416.14
"January 24, 2024",389.8,58701.3
"January 25, 2024",390.64,59174.51
"January 26, 2024",372.88,44870.49
"January 27, 2024",381.45,49962.28
"January 28, 2024",374.31,41338.49
"January 29, 2024",387.81,61721.4
"January 30, 2024",388.31,63398.15
"January 31, 2024",414.41,76945.48
Total,12203.02,1841083.97
