Day,Volume (In Mn.),Value (In Cr.)
"November 01, 2023",405.43,75460.87
"November 02, 2023",393.88,69440.58
"November 03, 2023",390.11,65932.18
"November 04, 2023",399.46,67589.37
"November 05, 2023",398.09,55497.82
"November 06, 2023",388.72,68024.65
"November 07, 2023",393.23,68423.73
"November 08, 2023",405.11,69096.38
"November 09, 2023",407.71,71078.45
"November 10, 2023",428.94,75086.84
"November 11, 2023",439.04,69374.71
"November 12, 2023",393.57,44733.39
"November 13, 2023",341.77,47916.85
"November 14, 2023",351.3,51371.31
"November 15, 2023",355.04,52638.59
"November 16, 2023",361.04,55363.84
"November 17, 2023",353.84,52204.33
"November 18, 2023",363.4,52174.65
"November 19, 2023",354.85,38799.93
"November 20, 2023",356.32,56077.71
"November 21, 2023",355.88,54802.0
"November 22, 2023",345.81,53206.86
"November 23, 2023",359.98,53380.71
"November 24, 2023",354.61,52349.38
"November 25, 2023",355.63,49582.93
"November 26, 2023",349.66,39662.64
"November 27, 2023",344.87,47992.81
"November 28, 2023",355.97,53090.91
"November 29, 2023",360.04,59642.71
"November 30, 2023",372.01,69743.48
Total,11235.29,1739740.61
