Day,Volume (In Mn.),Value (In Cr.)
"September 01, 2021",126.11,27148.4
"September 02, 2021",127.67,26154.15
"September 03, 2021",124.5,23910.41
"September 04, 2021",123.74,23834.31
"September 05, 2021",108.89,16861.66
"September 06, 2021",122.12,24922.42
"September 07, 2021",113.98,21864.83
"September 08, 2021",126.41,24634.77
"September 09, 2021",128.42,24770.65
"September 10, 2021",120.94,21030.37
"September 11, 2021",117.88,20129.85
"September 12, 2021",113.62,15950.87
"September 13, 2021",120.56,23212.04
"September 14, 2021",121.43,22629.21
"September 15, 2021",124.0,23442.74
"September 16, 2021",120.17,22094.58
"September 17, 2021",117.22,19888.28
"September 18, 2021",123.85,20854.06
"September 19, 2021",118.19,15698.53
"September 20, 2021",125.27,23232.53
"September 21, 2021",123.08,22157.2
"September 22, 2021",123.79,21821.81
"September 23, 2021",123.22,21377.26
"September 24, 2021",123.67,20872.26
"September 25, 2021",120.5,19085.04
"September 26, 2021",116.82,14906.16
"September 27, 2021",119.9,20756.07
"September 28, 2021",120.88,21099.09
"September 29, 2021",122.38,21981.12
"September 30, 2021",135.12,28327.61
Total,3654.3,654648.28
