Day,Volume (In Mn.),Value (In Cr.)
"August 01, 2023",355.25,66969.23
"August 02, 2023",345.69,62307.11
"August 03, 2023",348.57,59287.21
"August 04, 2023",344.79,57716.61
"August 05, 2023",356.24,57820.12
"August 06, 2023",298.81,36438.5
"August 07, 2023",359.11,63298.71
"August 08, 2023",349.24,55950.61
"August 09, 2023",350.34,56345.84
"August 10, 2023",354.79,57156.72
"August 11, 2023",353.39,53813.39
"August 12, 2023",352.68,48703.92
"August 13, 2023",342.72,38677.49
"August 14, 2023",353.37,54501.9
"August 15, 2023",328.46,39607.89
"August 16, 2023",340.16,50036.67
"August 17, 2023",332.28,49839.67
"August 18, 2023",337.3,48000.66
"August 19, 2023",335.2,47379.98
"August 20, 2023",335.69,38720.84
"August 21, 2023",334.74,50543.5
"August 22, 2023",327.29,47968.58
"August 23, 2023",331.44,47616.87
"August 24, 2023",335.05,47858.74
"August 25, 2023",331.04,46491.48
"August 26, 2023",338.15,45179.66
"August 27, 2023",332.83,36874.21
"August 28, 2023",339.64,51900.82
"August 29, 2023",341.35,51131.17
"August 30, 2023",356.13,50318.3
"August 31, 2023",344.26,58080.14
Total,10586.02,1576536.54
