Day,Volume (In Mn.),Value (In Cr.)
2021-11-15,137.31,27088.45
2021-11-16,138.16,27011.12
2021-11-17,139.38,25755.18
2021-11-18,134.82,25291.94
2021-11-19,133.91,21545.81
2021-11-20,138.72,24225.89
2021-11-21,131.39,18070.98
2021-11-22,133.85,25248.75
2021-11-23,138.85,25616.77
2021-11-24,137.4,25221.2
2021-11-25,139.25,25459.92
2021-11-26,137.57,25509.28
2021-11-27,134.24,22251.27
2021-11-28,129.63,17817.14
2021-11-29,136.94,26386.44
2021-11-30,147.77,32270.36
2021-12-01,153.1,33487.99
2021-12-02,152.43,31446.32
2021-12-03,148.01,28800.98
2021-12-04,154.25,29534.27
2021-12-05,147.84,23634.62
2021-12-06,148.87,30143.74
2021-12-07,153.6,30111.47
2021-12-08,151.0,28889.73
2021-12-09,145.27,27977.02
2021-12-10,138.28,25540.08
2021-12-11,145.1,25827.58
2021-12-12,139.21,20023.23
2021-12-13,140.71,26943.56
2021-12-14,148.48,28016.55
2021-12-15,151.25,28838.73
2021-12-16,145.7,26447.76
2021-12-17,146.12,24999.17
2021-12-18,145.12,24668.99
2021-12-19,140.21,19087.16
2021-12-20,148.94,29184.65
2021-12-21,146.78,27086.37
2021-12-22,148.99,26892.86
2021-12-23,149.46,26454.72
2021-12-24,149.12,25817.61
2021-12-25,144.89,22122.87
2021-12-26,135.73,17623.74
2021-12-27,143.64,26037.07
2021-12-28,144.56,26113.2
2021-12-29,142.08,25271.47
2021-12-30,149.15,27540.86
2021-12-31,168.4,32283.86
2022-01-01,158.53,27278.48
2022-01-02,153.17,24750.74
2022-01-03,161.49,32979.67
2022-01-04,159.5,32214.37
2022-01-05,159.17,31730.45
2022-01-06,158.94,30771.67
2022-01-07,162.13,30569.5
2022-01-08,154.71,26520.13
2022-01-09,121.3,18265.68
2022-01-10,165.05,33273.67
2022-01-11,156.32,30052.59
2022-01-12,159.06,30181.55
2022-01-13,156.51,28747.57
2022-01-14,144.51,23852.4
2022-01-15,137.8,21970.51
2022-01-16,131.12,18000.91
2022-01-17,148.76,27641.24
2022-01-18,146.5,26732.97
2022-01-19,150.16,27400.76
2022-01-20,145.93,27092.83
2022-01-21,147.74,26652.65
2022-01-22,142.24,23272.13
2022-01-23,131.74,17525.56
2022-01-24,145.03,28414.48
2022-01-25,146.01,27920.07
2022-01-26,140.43,21232.52
2022-01-27,143.76,27360.06
2022-01-28,145.49,26942.28
2022-01-29,139.06,24872.5
2022-01-30,143.78,21176.51
2022-01-31,161.23,36596.64
2022-02-01,172.73,38167.32
2022-02-02,166.65,34757.09
2022-02-03,164.67,33265.3
2022-02-04,162.28,32036.03
2022-02-05,165.52,31339.7
2022-02-06,154.93,23445.48
2022-02-07,166.49,33670.85
2022-02-08,166.8,32682.18
2022-02-09,171.88,32468.47
